"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Opened"
4948,"Tomcat 3","Servlet","dev","RESOLVED","WORKSFORME","Class.getPackage() returns null in classes loaded by webapp class loader","2004-11-16 19:05:38","2001-11-19 05:55:13"
5580,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","request.getRemoteAddr() and getRemoteHost() invalid","2004-11-16 19:05:38","2001-12-24 01:24:03"
6717,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Getting StringArrayOutOfBoundsException when trying to get client headers","2004-11-16 19:05:38","2002-02-27 13:22:29"
3745,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Http10Interceptor hangs on PUT without Content-Length","2005-03-20 17:06:12","2001-09-20 03:08:56"
5449,"Tomcat 3","Connectors","dev","RESOLVED","DUPLICATE","ajp13 and security contraints don't work","2005-03-20 17:06:12","2001-12-16 15:27:42"
6462,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","request.getRemoteAddr() returns 127.0.0.1","2005-03-20 17:06:12","2002-02-14 12:39:51"
3333,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","request.getParameter('action') return only static page value not passing parameter","2005-03-20 17:06:12","2001-08-29 01:10:37"
4599,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Thread settings from server.xml ignored","2004-11-16 19:05:38","2001-11-02 10:41:25"
5746,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Settting an error page for the status code 500 doesn't display the page.","2005-03-20 17:06:12","2002-01-08 10:34:28"
2790,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","wrong file name for auto-generated mod_jk file","2004-11-16 19:05:38","2001-07-25 10:48:47"
6515,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","tomcat sets response headers in sub request","2004-11-16 19:05:38","2002-02-18 02:40:21"
5349,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","A nonfatal internal JIT (3.00.078(x)) error 'Relocation error","2005-03-20 17:06:12","2001-12-10 23:34:41"
5132,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","request.getRemoteAddr() always returning 127.0.0.1","2005-03-20 17:06:12","2001-11-27 08:08:30"
11584,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","Configuration files owned by tomcat3 not root","2004-11-16 19:05:39","2002-08-09 09:37:11"
5376,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","error stopping tomcat with Ajp12","2005-03-20 17:06:12","2001-12-12 05:51:40"
5868,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","<jsp:include> and RequestDispatcher output is wrong.","2004-11-16 19:05:38","2002-01-15 08:43:30"
5561,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","Mangling of reserved words not working some times","2005-03-20 17:06:12","2001-12-21 10:56:43"
3290,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Sessions not sharing properly","2005-03-20 17:06:12","2001-08-27 16:39:51"
5257,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","JSP variables not seen from JSP tags' pageContext","2005-03-20 17:06:12","2001-12-03 16:47:31"
6723,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","'taglib' is not a valid directive under IIS4","2005-03-20 17:06:12","2002-02-27 16:12:52"
6000,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","getOutputStream  function can't be used inside JSP page","2004-11-16 19:05:38","2002-01-24 07:47:57"
6488,"Tomcat 3","Servlet","dev","VERIFIED","FIXED","Error: 304. Apparent bug in default ErrorHandler code.","2004-11-16 19:05:38","2002-02-15 13:10:54"
4600,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Tomcat 3.3 redirect behavior differs from Tomcat 3.2","2004-11-16 19:05:38","2001-11-02 10:52:25"
2916,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","JSP compilation fails due to use of Java2 method","2005-03-20 17:06:12","2001-07-30 22:23:38"
3507,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","Invalid servlet-mapping in web.xml file generated by JspC","2004-11-16 19:05:38","2001-09-07 13:50:16"
5030,"Tomcat 3","Connectors","dev","RESOLVED","WORKSFORME","MountJk /blah/*.jsp doesn't understand .jsp;jsessionid=","2004-11-16 19:05:38","2001-11-22 04:32:26"
5531,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","ISAPI (iss_redirect.dll) doesn't forward the request","2005-03-20 17:06:12","2001-12-20 03:07:26"
6518,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","class name generated from jsp filename mangles some valid identifier characters","2004-11-16 19:05:38","2002-02-18 07:04:49"
10321,"Tomcat 3","Encoding","dev","RESOLVED","DUPLICATE","Encoding problem in solaris environment (Solaris 2.6)","2004-11-16 19:05:39","2002-06-28 13:14:32"
5365,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","JSPs cannot be compiled if their working path includes reserved word","2005-03-20 17:06:12","2001-12-11 12:40:57"
3032,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","Cannot recover key Exception while using trust keystore with multiple keys","2004-11-16 19:05:38","2001-08-07 16:41:01"
4416,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","URI En/Decoding not working","2005-03-20 17:06:12","2001-10-25 06:31:46"
3441,"Tomcat 3","Auth","dev","RESOLVED","FIXED","transport-guarantee in web.xml is not respected","2004-11-16 19:05:38","2001-09-05 11:38:04"
3726,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Content-Type not settable from a forwarded servlet","2004-11-16 19:05:38","2001-09-19 11:11:16"
5390,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","jsp-file and load-on-startup and init-param does not work.","2004-11-16 19:05:38","2001-12-12 12:09:23"
5958,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","Wrong mod_jk.conf for path pattern","2004-11-16 19:05:38","2002-01-22 16:08:43"
6369,"Tomcat 3","Unknown","dev","RESOLVED","LATER","jk_nt_service.exe does not set exit code","2005-03-20 17:06:12","2002-02-11 16:17:04"
3256,"Tomcat 3","Auth","dev","RESOLVED","FIXED","tomcatAuthentication=""false"" does not appear to disable tomcat authentication","2004-11-16 19:05:38","2001-08-24 05:12:10"
4564,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","request.getRemoteAddr() and AccesLog not working","2004-11-16 19:05:38","2001-11-01 07:50:18"
5252,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","JSP + TagExtraInfo issue","2004-11-16 19:05:38","2001-12-03 14:38:02"
6214,"Tomcat 3","Config","dev","RESOLVED","FIXED","Problems on ClientAuth","2005-03-20 17:06:12","2002-02-04 10:36:56"
28632,"Tomcat 3","Unknown","dev","RESOLVED","INVALID","connection_util.jar missing","2005-03-20 17:06:12","2004-04-27 16:33:31"
3483,"Tomcat 3","Config","dev","RESOLVED","FIXED","-ajpid option ignored when starting Tomcat (3.3b2)","2004-11-16 19:05:38","2001-09-06 22:46:42"
4967,"Tomcat 3","Config","dev","RESOLVED","WORKSFORME","ArrayIndexOutOfBoundsException in SimpleMapper1","2004-11-16 19:05:38","2001-11-20 03:42:14"
5994,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","HTTP date headers not set correctly [patch included]","2004-11-16 19:05:38","2002-01-23 23:21:06"
9362,"Tomcat 3","Jasper","dev","RESOLVED","WORKSFORME","compiilation of JSP that includes a non-existant file dies without error message","2004-11-16 19:05:39","2002-05-23 18:20:18"
3604,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","/etc/rc.d scripts and stop command","2004-11-16 19:05:38","2001-09-14 01:29:59"
31474,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","URL query string attribute duplication when using forward method","2004-11-16 19:05:46","2004-09-29 20:52:48"
3498,"Tomcat 3","Config","dev","RESOLVED","FIXED","Tomcat ignores org.apache.tomcat.common.classpath and org.apache.tomcat.apps.classpath properties","2004-11-16 19:05:38","2001-09-07 09:35:33"
4313,"Tomcat 3","Config","dev","RESOLVED","FIXED","server.xml variable substitution broken","2004-11-16 19:05:38","2001-10-21 06:04:37"
5005,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","/a/b/c/nonexistent.jsp -> a file and directory chain created. attack risk","2004-11-16 19:05:38","2001-11-21 08:49:05"
5479,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","HttpRequest.getRemoteAddr() returns localhost invoking a jsp or servlet directly, without a connected web server","2004-11-16 19:05:38","2001-12-18 02:47:40"
3467,"Tomcat 3","Connectors","dev","RESOLVED","INVALID","worker.properties swallows my first worker (mod_jk)","2004-11-16 19:05:38","2001-09-06 11:08:18"
3608,"Tomcat 3","Encoding","dev","RESOLVED","DUPLICATE","invalid parameter parsing","2004-11-16 19:05:38","2001-09-14 03:47:33"
4826,"Tomcat 3","Config","dev","RESOLVED","FIXED","Can't configure AutoWebApp dir to absolute value on Windows","2005-03-20 17:06:12","2001-11-13 01:36:28"
5773,"Tomcat 3","Config","dev","RESOLVED","FIXED","WebXmlReader keeps warnings to itself","2004-11-16 19:05:38","2002-01-09 17:12:15"
2982,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","security permissions not passed to generated JSP class","2005-03-20 17:06:12","2001-08-03 11:07:53"
3566,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","System.err and System.out > /dev/null ?","2004-11-16 19:05:38","2001-09-12 07:26:48"
4382,"Tomcat 3","Config","dev","RESOLVED","FIXED","Starting up twice prevents stopping","2004-11-16 19:05:38","2001-10-23 17:10:28"
5532,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","underscore is wrong","2005-03-20 17:06:12","2001-12-20 03:11:13"
7794,"Tomcat 3","Unknown","dev","RESOLVED","WONTFIX","Common.ClassLoader and Apps.ClassLoader not loading .zip files","2004-11-16 19:05:39","2002-04-06 15:10:19"
3176,"Tomcat 3","Jasper","dev","RESOLVED","FIXED","Cant have a backslash ('\')as the last character in tag attribute","2005-03-20 17:06:12","2001-08-20 07:40:49"
3581,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Ctx() : Error creating validation mark  - java.io.FileNotFoundException","2004-11-16 19:05:38","2001-09-13 05:52:34"
4436,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","DecodeInterceptor writes to log on every call.","2005-03-20 17:06:12","2001-10-25 18:20:29"
6139,"Tomcat 3","Webapps","dev","RESOLVED","DUPLICATE","Jars in WEB-INF/lib are not always reloaded when context is removed and added again","2004-11-16 19:05:38","2002-01-30 23:49:39"
24998,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Seem to experiencing problems with sessions with multiple connects through a proxy","2004-11-16 19:05:41","2003-11-26 01:14:10"
3479,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","""GET"" parameter names with no value are concatenated incorrectly","2004-11-16 19:05:38","2001-09-06 17:10:12"
3727,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","path_info may get lost","2004-11-16 19:05:38","2001-09-19 11:38:55"
4955,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Page forward failure on URL parameter with no value (String index out of range)","2004-11-16 19:05:38","2001-11-19 15:27:06"
5411,"Tomcat 3","Jasper","dev","RESOLVED","INVALID","JSP session does not work with IE/IIS5/Tomcat 3.3","2005-03-20 17:06:12","2001-12-13 08:03:42"
5983,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Cannot deal with common buggy POST from applets","2004-11-16 19:05:38","2002-01-23 16:40:36"
6448,"Tomcat 3","Config","dev","RESOLVED","LATER","NullPointerException when docBase is missing","2004-11-16 19:05:38","2002-02-14 05:35:51"
8154,"Tomcat 3","Config","dev","RESOLVED","WONTFIX","logrotate script in RPM rotates non-existing file","2004-11-16 19:05:39","2002-04-16 09:34:22"
4598,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Default installation fails to startup because address is already in use","2004-11-16 19:05:38","2001-11-02 10:08:52"
6215,"Tomcat 3","Servlet","dev","RESOLVED","DUPLICATE","ServletRequest#getRemoteAddr() returns 127.0.0.1 after 2 requests.","2005-03-20 17:06:12","2002-02-04 11:20:05"
2789,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Tomcat doesn't postpend the trailing backslash in the ""Go Up"" link in its directory indexes","2004-11-16 19:05:38","2001-07-25 10:46:28"
3486,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","Session problem.","2005-03-20 17:06:12","2001-09-07 03:37:01"
4975,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Connection closed before response is sent","2005-03-20 17:06:12","2001-11-20 06:42:33"
5463,"Tomcat 3","Config","dev","RESOLVED","DUPLICATE","JKMount directory  incorrectly  generated in mod_jk.conf for name_number directories under Tomcat default webapps.","2004-11-16 19:05:38","2001-12-17 13:27:45"
9772,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","RequestDispatcher.forward(resource) does not perform necessary checks","2004-11-16 19:05:39","2002-06-11 13:22:28"
5314,"Tomcat 3","Config","dev","RESOLVED","FIXED","NPE when reading web.xml without DOCTYPE declaration","2004-11-16 19:05:38","2001-12-07 05:42:03"
5769,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","NT Service display name should not be used as service name","2005-03-20 17:06:12","2002-01-09 12:11:05"
6817,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","mod_jk uses RTLD_GLOBAL, which may not exist","2004-11-16 19:05:38","2002-03-02 18:04:38"
4365,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","build-solaris for Apache connector does not compile with -DEAPI","2004-11-16 19:05:38","2001-10-23 06:14:38"
3988,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","NullPointerException in TC 3.3-b1","2004-11-16 19:05:38","2001-10-05 05:03:41"
3641,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","Bad value in query string parameter while forwarding request","2005-03-20 17:06:12","2001-09-16 03:39:37"
6355,"Tomcat 3","Servlet","dev","RESOLVED","INVALID","getPathInfo() returns null in forwarded servlet","2004-11-16 19:05:38","2002-02-11 05:18:17"
3577,"Tomcat 3","Encoding","dev","RESOLVED","FIXED","NPE when DecodeInterceptor gets confused","2004-11-16 19:05:38","2001-09-12 14:43:24"
5246,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","illegal tag at jsp:plugin","2004-11-16 19:05:38","2001-12-03 10:54:48"
6137,"Tomcat 3","Webapps","dev","RESOLVED","FIXED","Context Administration removes /ROOT instead of the specified context at first remove request","2004-11-16 19:05:38","2002-01-30 22:18:50"
6616,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","date headers not working properly","2004-11-16 19:05:38","2002-02-21 16:29:32"
23316,"Tomcat 3","Auth","dev","RESOLVED","FIXED","Oracle JDBCRealms failed after tns listener restart.","2004-11-16 19:05:41","2003-09-22 04:55:17"
6234,"Tomcat 3","Servlet","dev","RESOLVED","FIXED","checkError method of Servlet's PrintWriter is unreliable","2005-03-20 17:06:12","2002-02-04 23:07:07"
7148,"Tomcat 3","Jasper","dev","RESOLVED","LATER","Log is not flushed","2004-11-16 19:05:38","2002-03-15 11:23:55"
4074,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Typo in StopTomcat.java","2004-11-16 19:05:38","2001-10-10 08:03:31"
3644,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","Errors reloading resources from jars: possible JDK bug","2004-11-16 19:05:38","2001-09-16 20:28:21"
4923,"Tomcat 3","Unknown","dev","RESOLVED","FIXED","getRealPath().exists() yields security exception","2004-11-16 19:05:38","2001-11-16 06:01:58"
5250,"Tomcat 3","Connectors","dev","RESOLVED","LATER","Load balancing workers do not correctly handle Cookies conformant with RFC 2965","2004-11-16 19:05:38","2001-12-03 13:49:25"
5722,"Tomcat 3","Webapps","dev","RESOLVED","INVALID","Forward to a page that have no extension displays a blank page","2005-03-20 17:06:12","2002-01-07 10:16:02"
28761,"Tomcat 3","Connectors","dev","RESOLVED","FIXED","mod_jk logging: amall spelling improvement","2004-11-16 19:05:41","2004-05-04 09:36:28"
3600,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","/etc/rc.d scripts of the rpm","2004-11-16 19:05:38","2001-09-14 01:12:32"
6004,"Tomcat 3","Config","dev","RESOLVED","FIXED","Cannot configure keystoreType","2004-11-16 19:05:38","2002-01-24 11:24:01"
3602,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Tomcat is enabled by default after an rpm install","2004-11-16 19:05:38","2001-09-14 01:14:32"
3606,"Tomcat 3","Unknown","dev","RESOLVED","DUPLICATE","Tomcat rpms are not FHS compliant","2004-11-16 19:05:38","2001-09-14 02:08:20"
7762,"Tomcat 3","Config","dev","RESOLVED","LATER","stdout logfile handling","2004-11-16 19:05:39","2002-04-05 13:17:35"
5560,"Tomcat 3","Jasper","dev","RESOLVED","WONTFIX","Removal of unnecesary white space in output","2005-03-20 17:06:12","2001-12-21 10:49:49"
